Term,Type,Ontology,Synonyms,Definition,GeneratedDefinition,Examples,Explanations,Maturity
skyway,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,,,,,release
slip,NamedIndividual,Addresses Ontology,,sloping ramp extending out into the water to serve as a place for landing or repairing ships; ship's or boat's berth between two piers,,,,release
soft credit event,Class,Credit Events Ontology,,default event that is repairable,It is a kind of default event. ,,"If the default is not repaired within a grace period, then a failure to repair (failure to pay) credit event is triggered, potentially as a hard default.",release
soft retractable preferred share,Class,Equity Instruments Ontology,,"retractable preferred share whose retraction value may be paid in cash or in an equal value of common stock of the issuer, at the option of the issuer",It is a kind of retractable preferred share. ,,,release
sole controlling party,Class,Control Parties Ontology,,party that has sole control over and directs the affairs of some legal entity,It is a kind of entity controlling party. ,,,release
sole proprietor,Class,Sole Proprietorships Ontology,"sole owner, sole trader","party that owns a business, has the rights to all profits from that business and is considered a single entity (unincorporated) together with that business for tax and liability purposes","It is a kind of entity owner. It has investment entity some sole proprietorship, has identity exactly 1 legally competent natural person.",,A sole proprietor has unlimited liability with respect to any business debts.,release
sole proprietorship,Class,Sole Proprietorships Ontology,,unincorporated business owned by a single person,"It is a kind of business entity. It is owned and controlled by exactly 1 legally competent natural person, has capacity some liability capacity.",,,release
sovereign bond,Class,Bonds Ontology,,bond issued by the government of a country,"It is a kind of government bond, sovereign debt instrument. ",,"Sovereign bonds issued by G20 developed countries are generally full faith and credit obligations. Sovereign bonds issued by emerging and developing countries may be issued in local currency or a G7 currency, and may either be full faith and credit (unsecured) or secured.",release
sovereign debt instrument,Class,Bonds Ontology,,debt security issued by the government of a country,It is a kind of government issued debt security. ,,,release
sovereign state,Class,Government Entities Ontology,,non-physical juridical entity that is represented by one centralized government that has sovereignty over a geographic area,"It is a kind of polity. It has full sovereignty over some country, is represented by some national government.",,"A legal entity that is represented by one centralized government, has a permanent population, defined territory, and the capacity to enter into relations with other sovereign states.",release
sovereign wealth fund,Class,Funds Ontology,"sovereign investment fund, social wealth fund",state-owned investment fund that consists of pools of money derived from a country's reserves,It is a kind of collective investment vehicle. ,,"Sovereign wealth funds include the International Monetary Fund, whose corresponding legal entity is a polity.",release
space,NamedIndividual,Addresses Ontology,,"extent set apart or available, such as a parking or storage space",,,,release
special assessment bond,Class,Bonds Ontology,,municipal bond used to fund a development project that is payable from the revenues of an assessment (tax) on the community that is intended to benefit from the project,"It is a kind of municipal bond, secured bond. ",,"A special assessment is a charge imposed against a property in a particular locality because that property receives a special benefit by virtue of some public improvement, separate and apart from the general benefit accruing to the public at large. Special assessments may be apportioned according to the value of the benefit received, rather than merely the cost of the improvement.",release
special dividend,Class,Equity Instruments Ontology,,dividend that is paid to shareholders on a one-time basis,It is a kind of dividend. ,,,release
special dividend leg terms,Class,Equity Swaps Ontology,,terms that are invoked if special dividend and memorial dividends are applicable,It is a kind of cashflow terms. ,,,release
special obligation bond,Class,Bonds Ontology,,"bond secured by a limited revenue source, such as receipts derived from a designated project",It is a kind of municipal bond. ,,,release
special purpose vehicle,Class,Funds Ontology,special purpose entity,"legal entity created to fulfill narrow, specific, and frequently temporary objectives",It is a kind of legal entity. ,,"A special purpose vehicle (SPV), also known as a special purpose entity (SPE), refers to a legal entity, typically a limited company or partnership, created to isolate a parent company from financial risk, including bankruptcy.",release
special tax bond,Class,Bonds Ontology,,bond secured by revenues derived from designated taxes other than ad valorem taxes,"It is a kind of municipal bond, secured bond. ","For example, bonds for a particular purpose might be supported by sales, cigarette, fuel or business license taxes.",,release
specializes,Property,Quantities and Units Ontology,,indicates something whose nature is more general (broader than) the subject,,,,release
specific-provider interest rate benchmark,Class,Interest Rates Ontology,,interest rate benchmark that is made available by a specific market data provider for reference purposes,It is a kind of interest rate benchmark. It is provided by exactly 0 market data provider.,,"Benchmarks, such as those published by Bloomberg, Thomson-Reuters, and others, are usually quoted as of a specific date and time of day.",release
specified date,Class,Financial Dates Ontology,,calculated date that is defined by a rule that is captured as a string by the 'hasDateSpecification' property,It is a kind of calculated date. ,,,release
specifies,Property,Registration Authorities Ontology,,states a fact about something,,,,release
specifies conversion date,Property,Equity Instruments Ontology,,"indicates the date on which, or after which, conversion may occur",,,,release
specifies conversion into,Property,Securities Issuance Ontology,,specifies a security that will replace a convertible security under the terms of the agreement,,,,release
spring,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,,,,,release
springs,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,,,,,release
spur,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,,,,,release
spurs,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,,,,,release
square,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,,,,,release
squares,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,,,,,release
standard deviation,Class,Analytics Ontology,,square root of variance that measures the spread or dispersion around the mean of a data set,It is a kind of dispersion. ,,"While standard deviation is the most widely-used measure of spread, using squared deviations, it may not be the most robust.. The most widely used measure of dispersion of a frequency distribution introduced by K. Pearson (1893). It is equal to the positive square root of the variance. The standard deviation should not be confused with the root mean square deviation.",release
standard industrial classification code,Class,Business Registries Ontology,,the SIC code representing an industry,"It is a kind of code element, industry sector classifier. It is defined in exactly 1 standard industrial classification scheme, classifies some formal organization.",,,release
standard industrial classification scheme,Class,Business Registries Ontology,,the scheme defining the Standard Industrial Classification (SIC) Code List,"It is a kind of industry sector classification scheme, code set. It defines some standard industrial classification code.",,"Standard Industrial Classifications are four-digit codes that categorize companies by the type of business activities they engage in. These codes were created by the U.S. government in 1937 to facilitate analysis of economic activity across government agencies and within industries. They were mostly replaced in 1997 by a new system of six-digit codes called the North American Industry Classification System (NAICS). The new codes were adopted in part to standardize industry data collection and analysis in between Canada, the United States and Mexico which had entered into the North American Free Trade Agreement.  Note that certain organizations, such as the Securities and Exchange Commission (SEC) still use SIC codes for some purposes.",release
standardized address,Class,U.S. Postal Service Addresses Ontology,,"delivery address that is fully spelled out, abbreviated by using the Postal Service standard abbreviations or as given in the current Postal Service ZIP+4 file",It is a kind of physical address. ,,,release
standardized futures listing terms,Class,Futures and Forwards Ontology,,contract terms established by a derivatives exchange that apply to any listing of a futures contract on that exchange.,"It is a kind of derivative terms, standardized terms. It applies to some futures listing, has publisher some designated contract market.",,"Individual listings will take on these standard terms but they are not contractual terms of the futures contract, they are facts about that listing on that exchange.",release
standardized futures terms,Class,Futures and Forwards Ontology,,contract terms established by a derivatives exchange that apply to any futures contract traded on that exchange,"It is a kind of derivative terms, standardized terms. It specifies some settlement terms, applies to some future.",,"Standard symbology for the commodities are standardized by the exchanges as part of their standard contracts, for example trading in standard bushels, commonly defined kinds of oil and so on. These give the units in which lot sizes are described and defined.",release
standardized terms,Class,Financial Instruments Ontology,,"contract terms that, grouped together, that are generally and consistently reused across many contracts, published by some organization, and capable of being incorporated into a contract by reference",It is a kind of contractual commitment. ,"Each exchange has a set of terms they apply to membership agreements and with respect to the instrments that may be traded on that exchange. For example, there is a set expiration date that exchanges will publish for exchange-traded options - in the US it is the Saturday following the third Friday of every month. Similarly, there are set incremental dates for strike for exchange traded options. Contract sizes are also stipulated, for example in the US these are standardized by the OPRA Convention (Options Pricing Reporting Authority).",,release
state government entity or agency,Class,US Regulatory Agencies Ontology,,"formal organization that is an independent agency, instrumentality or other permanent or semi-permanent organization in the machinery of government of any one of the states or territories of the United States",It is a kind of government body. ,,,release
state-chartered bank,Class,US Financial Services Entities Ontology,,commercial bank whose charter is approved by a state banking regulator,"It is a kind of U.S. bank, commercial bank. ",,"A state bank is defined as any bank, banking association, trust company, savings bank, industrial bank (or similar depository institution operating substantially in the same manner as an industrial bank), or other banking institution which is engaged in the business of receiving deposits other than trust funds, and in the US, is incorporated under the laws of any State or which is operating under the Code of Law for the District of Columbia, including any cooperative bank or other unincorporated bank the deposits of which were insured by the Federal Deposit Insurance Corporation on the day before the date of the enactment of the Financial Institutions Reform, Recovery, and Enforcement Act of 1989.. State-chartered banks may or may not be members of the Federal Reserve System, but typically belong to the Federal Deposit Insurance Corporation, who may be their primary federal regulator for those that are not FRS members.",release
station,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,,,,,release
statistical area,Class,Analytics Ontology,,physical location that is defined per some program for designating geographic regions for the purposes of tabulating and presenting statistical data,It is a kind of geographic region. It is identified by some statistical area identifier.,,,release
statistical area identifier,Class,Analytics Ontology,,identifier for a physical location that is defined per a nationally consistent program for designating geographic regions for the purposes of tabulating and presenting statistical data,It is a kind of identifier. It identifies exactly 1 statistical area.,,,release
statistical information publisher,Class,Economic Indicators Ontology,,publisher that packages and makes analytical and statistical data available,It is a kind of publisher. It has identity some formal organization.,,,release
statistical measure,Class,Analytics Ontology,,"summary (means, mode, total, index, etc.) of the individual quantitative variable values for the statistical units in a specific group (study domain)",It is a kind of measure. It is characterized by at least 0 aspect.,,"Statistical measures may consist of several orthogonal characteristics, including (a) whether they reflect an estimate or variable, (b) the datatype, or from a FIBO perspective, nature of the measure (e.g., index, total, ratio, percent, percent change, mean, others), (c) the population (or the universe that applies to the highest level if defined in general) to which the measure applies, and (d) any relevant aspects used to subset or stratify a measure, (i.e., make them apply to a smaller universe).",release
statistical population,Class,Analytics Ontology,,statistical universe filtered by time and region,"It is a kind of statistical universe, finite population. It is characterized by some explicit date period, is characterized by some statistical area.",,"A common aim of statistical analysis is to produce information about some chosen population. In statistical inference, a subset of the population (a statistical sample) is chosen to represent the population in a statistical analysis. If a sample is chosen properly, characteristics of the entire population that the sample is drawn from can be estimated from corresponding characteristics of the sample.",release
statistical program,Class,Analytics Ontology,,program that presents a detailed investigation and analysis of a subject or situation involving one or more studies or surveys,"It is a kind of programme, program. It has coverage area some statistical area, applies to some statistical universe, provides some statistical measure.",,,release
statistical swap,Class,Swaps Ontology,,swap that depends on some statistical measure of the performance of the underlier,"It is a kind of swap. It has leg some performance-based variable leg, has leg at least 0 fixed leg.",,,release
statistical universe,Class,Analytics Ontology,,"collection representing the total membership, or 'universe', of people, resources, products, services, events, or entities of interest for some question, experiment, survey or statistical program",It is a kind of collection. It has context some statistical program.,A statistical universe can be a group of actually existing objects (e.g. the set of all stars within the Milky Way galaxy) or a hypothetical and potentially infinite group of objects conceived as a generalization from experience (e.g. the set of all possible hands in a game of poker).,,release
statute law,Class,Jurisdiction Ontology,,law enacted by a legislature,It is a kind of law. It is in force in some jurisdiction.,,"In the United States, statutes may also be called acts, such as the Civil Rights Act of 1964 or the Sarbanes-Oxley Act.  Federal laws must be passed by both houses of Congress, the House of Representative and the Senate, and then usually require approval from the president before they can take effect.. Statutes may originate with national, state legislatures or local municipalities. Statutory laws are subordinate to the higher constitutional laws of the land.",release
statutory body,Class,Legal Persons Ontology,,legal entity established by a government to consider evidence and make judgements in some field of activity,It is a kind of legal entity. ,,,release
step event,Class,Bonds Ontology,,event whereby a set of fixed coupon terms comes into force as specified in a step schedule,It is a kind of prescriptive event. It involves some fixed coupon terms.,,,release
step schedule,Class,Bonds Ontology,,schedule specifying the dates and rates relevant to securities that pay an initial interest rate but also have a feature where set rate increases happen at periodic intervals,It is a kind of ad hoc schedule. It comprises some step event.,,,release
step up bond,Class,Bonds Ontology,,bond with a coupon that increases (steps up) while the bond is outstanding,It is a kind of bond. It has interest payment terms some stepped coupon terms.,,"The step up may be one time, or occur according to a schedule or at regular intervals.",release
stepped coupon terms,Class,Bonds Ontology,,coupon payment terms for securities with a coupon that increases (steps up) while the bond is outstanding,It is a kind of coupon payment terms. It has schedule some step schedule.,,,release
stock corporation,Class,Corporate Bodies Ontology,,"corporation that has shareholders, each of whom receives a portion of the ownership of the corporation through shares of stock","It is a kind of corporation. It has date of registration at least 0 explicit date, is governed by some board agreement, has date of incorporation exactly 1 explicit date, has issued capital exactly 1 monetary amount.",,"The shares in a stock corporation may receive a return on their investment in the form of dividends. Shares are used for voting on matters of corporate policy or to elect directors, at the corporation's annual meeting and at other meetings of the corporation.",release
stop,NamedIndividual,Addresses Ontology,,"stopping place, such as a bus or mail stop",,,,release
strategy,Class,Objectives Ontology,,"plan or method for achieving a specific goal, objective, solution or outcome","It has goal at least 0 goal, has objective at least 0 objective.",,A strategy may involve activities that are needed in order to achieve specific goals or objectives. It may take into account one or more policies or any number of restrictions and constraints.,release
stravenue,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,,,,,release
stream,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,,,,,release
street,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,,,,,release
street address,Class,Addresses Ontology,,"index to a location that consists of a primary address number, predirectional, street name, suffix, postdirectional, and an optional secondary unit","It is a kind of address component. It has street name some street name, has secondary unit at least 0 secondary unit, has postdirectional symbol at least 0 postdirectional symbol, has predirectional symbol at least 0 predirectional symbol, has street suffix at least 0 street suffix, has primary address number at most 1 primary address number.",,,release
street name,Class,Addresses Ontology,,"identifier for a street in some context (e.g., city, municipality, geographic region)",It is a kind of address component. ,,,release
street suffix,Class,Addresses Ontology,,"classifier for a street or other delivery location, such as a dwelling located along a waterway","It is a kind of classifier, address component. ",,"The suffix may provide some insight into the size or length of the street, though not necessarily consistently. In some cities, the suffix differentiates the street from another in the same context, such as 19th Street vs. 19th Avenue in San Francisco.",release
streets,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,,,,,release
strike leg,Class,Swaps Ontology,,"swap leg that specifies a fixed amount, 'the strike', quoted at the time of execution",It is a kind of fixed leg. ,,"The fixed amount may be with respect to some variable or a monetary amount.  The realization of a strike leg is not a cashflow per se, but a netting out against the terms defined in the other leg of a statistical swap.",release
strip,Class,Debt Instruments Ontology,Separate Trading of Registered Interest and Principal of Securities,a tradeable debt instrument created either through the process of removing coupons from a bond and then selling the separate parts as a zero coupon bond and an interest paying coupon bond or through taking the opposite position from some variant in the options market,It is a kind of fixed income security. ,,"STRIPS is an acronym for Separate Trading of Registered Interest and Principal of Securities, which has come to be used as a term in its own right.",release
strip bond,Class,Bonds Ontology,,bond that is part of a series of bonds formed by selling each interest payment and the principal amount of a bond as separate zero coupon bonds.,"It is a kind of zero coupon bond, strip. It is based on some bond.",,,release
structure name,Class,Addresses Ontology,,"identifier for a building, house, office complex, shopping center, or other structure or group of structures",It is a kind of address component. ,"Examples include 'McCoy Center', which is the name of the office complex where JPMorgan Chase's Polaris facility is located, 'Apple Park', which is the name of the corporate headquarters of Apple, Inc., and 'Howells Bridge Cottage', which is the name of a very old cottage in Cornwall.",,release
structured collection,Class,Arrangements Ontology,,collection that has a clearly defined structure or organization,It is a kind of collection. ,,,release
sub-facility,Class,Debt Ontology,,"portion of a credit facility extended to the borrower for some purpose, possibly per some schedule specified in the facility","It is a kind of mutual contractual agreement. It is constituent of exactly 1 credit facility, has monetary amount some monetary amount.",,"Each sub-facility may have separate terms, and may be or include individual promissory notes, depending on the facility. The amount of associated with the individual sub-facilities sums to the total credit facility amount. Sub-facilities may, individually, have a stated purpose, such as to cover inventory, equipment, accounts receivable, working capital, letters of credit, and so forth.",release
submits,Property,Reporting Ontology,,"presents something (a proposal, application, report, or other document) for consideration or review",,,,release
submitter,Class,Reporting Ontology,,"party presenting something, such as a regulatory report",It is a kind of party in role. It submits some report.,,,release
subsidiary,Class,Corporate Control Ontology,,legal entity that is entirely or majority owned and controlled by another legal entity,It is a kind of controlled affiliate. ,,"A subsidiary is a separate, distinct legal entity from its parent company(ies) for the purposes of taxation, regulatory compliance, and with respect to liability.",release
succeeds,Property,Financial Products and Services Ontology,,"relates a product, organization, stage in a lifecycle, an event, or occurrence, such as a trade, to one that follows it",,,,release
suite,NamedIndividual,Addresses Ontology,,group of rooms occupied as a unit,,,,release
summit,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,,,,,release
super sinker,Property,Bonds Ontology,,indicates that the bond has a long-term coupon but short potential short maturity,,,"Super-sinker is a colloquial term for a term maturity, usually from a single family mortgage revenue issue with several term maturities, that will be the first to be called from a sinking fund into which all proceeds from prepayments of mortgages financed by the issue are deposited. The maturity's priority status under the call provisions means that it is likely to be redeemed in its entirety well before the stated maturity date.",release
supersedes,Property,Contracts Ontology,,indicates a contract that was executed prior to and is replaced by this contract,,,,release
supplemental address component,Class,Addresses Ontology,,address component that provides additional information that is important to ensuring proper delivery of communications,"It is a kind of address component. It comprises exactly 1 supplemental address designator, comprises at least 0 supplemental address unit.",,"Supplemental components include post office box information, rural route and highway contract route information, private mailboxes, and so forth, that are not part of a conventional street address.",release
supplemental address designator,Class,Addresses Ontology,,"classifier for supplemental address information, such as a highway contract route, rural route, building complex, shopping center, condominium complex, mail box, or other similar designation",It is a kind of classifier. It classifies some supplemental address component.,,,release
supplemental address unit,Class,Addresses Ontology,,"address component that includes a specific route, box, apartment, condominium or other indicator or unit associated with a specific address",It is a kind of address component. ,,,release
supplier,Class,Products and Services Ontology,,"party that provides goods or services that some party wants or needs, especially over a long period of time",It is a kind of party in role. It supplies some product.,,"A supplier may be distinguished from a contractor or subcontractor, who commonly adds specialized input to deliverables.",release
supplies,Property,Products and Services Ontology,,"links a party in the role of outfitter, provisioner, distributor, etc. to something that they provide",,,,release
supranational entity,Class,Government Entities Ontology,,governmental or non-governmental entity that is established by international law or treaty or incorporated at an international level,"It is a kind of polity. It has shared sovereignty over at least 2 country, is represented by some government body.",,"A supranational union is a supranational polity which lies somewhere between a confederation that is an association of states and a federation that is a state.  Unlike states in a federal super-state, member states retain ultimate sovereignty, although some sovereignty is shared with, or ceded to, the supranational body.",release
swap,Class,Swaps Ontology,,derivative instrument whereby two counterparties agree to exchange periodic streams of cash flows with each other,"It is a kind of derivative instrument. It has contractual element some swap terms, has contract party exactly 2 swap party, exchanges exactly 2 swap leg, is identified by at least 0 unique swap identifier.",,"Usually, the principal does not change hands. Each cash flow comprises one leg of the swap. One cash flow is generally fixed, while the other is variable, that is, based on a a benchmark interest rate, floating currency exchange rate or index price.. The underlying instruments can be almost anything, representing various asset classes, but most swaps involve cash flows (streams of payments or other commitments over time) based on a notional principal amount that both parties agree to.",release
swap confirmation,Class,Swaps Ontology,,formal confirmation that codifies the terms and conditions specific to a lifecycle event with respect to the overall transaction between the parties,"It is a kind of transaction confirmation, swap lifecycle event. It has contract party some swap party, supersedes only swap confirmation.",,,release
swap contract party A,NamedIndividual,Interest Rate Swap Example Individuals Ontology,,swap contract party A for all of the sample contracts in the sample swap data,,,,release
swap contract party ZZZWWK96TRQY0F2IY7VK,NamedIndividual,Interest Rate Swap Example Individuals Ontology,,swap contract party ZZZWWK96TRQY0F2IY7VK,,,,release
swap data repository,Class,Swaps Ontology,,financial service provider that provides a central facility for swap data reporting and recordkeeping,It is a kind of financial service provider. ,,"Swap data repositories ('SDRs') are new entities created by the Dodd-Frank Wall Street Reform and Consumer Protection Act ('Dodd-Frank Act') in order to provide a central facility for swap data reporting and recordkeeping. Under the Dodd- Frank Act, all swaps, whether cleared or uncleared, are required to be reported to registered SDRs. The Dodd-Frank Act added new Section 21 to the Commodity Exchange Act ('CEA'), governing registration and regulation of SDRs and establishing registration requirements and core duties and responsibilities for SDRs.",release
swap dealer,Class,Swaps Ontology,,"non-depository institution such as one that deals in swaps, makes a market in swaps, regularly enters into swaps with counterparties as an ordinary course of business for its own account, and engages in any activity causing the person to be commonly known in the trade as a dealer/market maker in swaps","It is a kind of non-depository institution, dealer. ",,,release
swap execution facility,Class,Swaps Ontology,,exchange that enables participants to execute and trade swaps,It is a kind of exchange. ,,"Swap execution facilities, including trading systems and other platforms, allow for greater transparency and represent a significant shift in the way derivative trading has been done. The Dodd-Frank Act lays the foundation for this change of derivative execution.",release
swap leg,Class,Swaps Ontology,swap stream terms,"terms defining and the commitment to fulfill cashflow requirements (e.g., interest payments, coupon payments, etc.) for one side of a swap","It is a kind of cashflow terms, swap terms. It has termination date at least 0 date, has effective date exactly 1 date, has buyer exactly 1 swap paying party, has notional amount exactly 1 monetary amount, has seller exactly 1 swap receiving party, is leg of some swap.",,,release
swap lifecycle event,Class,Swaps Ontology,,"event that occurs during the lifecycle of a swap, where the overall set of events includes those specific to the issuer, front office, middle office, and/or back office processes","It is a kind of transaction event. It has swap identifier exactly 1 unique swap identifier, applies to some swap, has party in role some swap party, is identified by exactly 1 swap lifecycle event identifier.",,,release
swap lifecycle event identifier,Class,Swaps Ontology,,identifier that uniquely identifies a specific event in the lifecycle of a swap,It is a kind of identifier. It identifies exactly 1 swap lifecycle event.,,,release
swap party,Class,Swaps Ontology,,party to a swap and therefore a legal party to the contract that embodies that transaction,It is a kind of contract party. ,,,release
swap paying party,Class,Swaps Ontology,,swap party responsible for making payments for a given leg of the transaction as defined in the contract,"It is a kind of paying party, swap party. ",,,release
swap receiving party,Class,Swaps Ontology,,swap party that receives payments for a given leg of the transaction as defined in the contract,"It is a kind of receiving counterparty, swap party. ",,,release
swap stream calculation relative date,Class,Interest Rate Swaps Ontology,,calculation date that is relative to the rate reset schedule,It is a kind of relative date. It is relative to some swapstream interest rate reset schedule.,,,release
swap stream event,Class,Swaps Ontology,,"payment event (e.g., interest payment, coupon payment, etc.) against one leg of a swap stream","It is a kind of payment event, swap lifecycle event. ",,,release
swap stream interest calculation schedule,Class,Interest Rate Swaps Ontology,,parametric schedule that represents the dates on which interest is calculated,It is a kind of parametric schedule. ,,,release
swap stream interest payment,Class,Interest Rate Swaps Ontology,,event involving the payment of interest for a given swap leg,It is a kind of payment. ,,,release
swap stream interest payment schedule,Class,Interest Rate Swaps Ontology,,parametric schedule that represents the dates on which interest is due to be paid,"It is a kind of payment schedule, parametric schedule. ",,"These may more commonly be expressed as an offset of the calculation dates, however the creation of a schedule specifically for payment dates is allowed for.",release
swap stream interest rate reset,Class,Interest Rate Swaps Ontology,,event in which an interest rate for a given swap stream changes (resets),It is a kind of interest rate stream event. ,,,release
swap stream interest rate setting event,Class,Interest Rate Swaps Ontology,,event in which an interest rate for a given swap stream is determined,It is a kind of interest rate stream event. It has date some swap stream interest setting relative date.,,,release
swap stream interest setting relative date,Class,Interest Rate Swaps Ontology,,date on which an interest rate is revised if that date is relative to a rate reset event,It is a kind of relative date. It is relative to some swap stream interest rate reset.,,,release
swap terms,Class,Swaps Ontology,,legal contractual terms of a swap transaction,It is a kind of derivative terms. ,,,release
swapstream interest calculation,Class,Interest Rate Swaps Ontology,,expression that specifies the formula for calculation of interest,It is a kind of expression. ,,,release
swapstream interest rate reset schedule,Class,Interest Rate Swaps Ontology,,parametric schedule of reset dates,It is a kind of parametric schedule. ,,"These may more commonly be expressed as an offset of the calculation dates, however the creation of a schedule specifically for reset dates is allowed for.",release
symbol,Property,Annotation Vocabulary,,"abbreviation that is a design, mark, or character(s) used conventionally to represent something, such as a currency, quantity, or variable in an expression",,,"The symbols for quantities are generally single letters of the Latin or Greek alphabet, sometimes with subscripts or other modifying signs.",release
synonym,Property,Annotation Vocabulary,,designation that can be substituted for the primary representation of something,,,,release
system of quantities,Class,Quantities and Units Ontology,,set of quantities together with a set of non-contradictory equations relating those quantities,"It is a kind of classification scheme. It comprises at least 0 system of quantities, uses at least 0 system of quantities.","The International System of Quantities (ISQ) is an example of a SystemOfQuantities, defined in ISO 31 and ISO/IEC 80000.",,release
system of units,Class,Quantities and Units Ontology,,"set of measurement units associated with a system of quantities, together with a set of rules that assign one measurement unit to be the base unit for each base quantity in the system of quantities and a set of rules for the derivation of other units from the base units","It is a kind of classification scheme. It uses at least 0 system of units, comprises at least 0 system of units, applies to exactly 1 system of quantities, defines some measurement unit.",The International System of Units (SI) is a system of units.,,release
systematic internaliser,Class,Markets Ontology,,"an investment firm that, on an organised, frequent, systematic and substantial basis, deals on its own account by executing client orders outside a regulated market, MTF or OTF without operating a multilateral system",It is a kind of exchange. ,,,release
tangible asset,Class,Ownership Ontology,,"asset that is a physical, measurable resource, i.e., one that takes a physical form",It is a kind of asset. ,,"Tangible assets include cash, cash equivalents and accounts receivables (AR), inventory, equipment, buildings and real estate, crops, and investments.  Tangible assets such as art, furniture, stamps, gold, wine, toys and books of significant value may be included in an individual or organization's asset portfolio.",release
tax allocation bond,Class,Bonds Ontology,,"bond payable from the incremental increase in tax revenues realized from any increase in property value and other economic activity, often designed to capture the economic benefit resulting from a bond financing","It is a kind of municipal bond, secured bond. ",,"Tax increment bonds, also known as tax allocation bonds, often are used to finance the redevelopment of blighted areas.",release
tax authority,Class,Regulatory Agencies Ontology,,"regulatory agency that has jurisdiction over the assessment, determination, collection, imposition and other aspects of any tax","It is a kind of regulatory agency. It manages some tax identification scheme, has jurisdiction some jurisdiction, issues at least 0 tax identifier.",,,release
tax identification scheme,Class,Parties Ontology,,identification scheme used to identify taxpayers in some jurisdiction,It is a kind of identification scheme. It applies in some jurisdiction.,,,release
tax identifier,Class,Parties Ontology,,identifier assigned to a taxpayer that enables compulsory financial charges and other levies to be imposed on the taxpayer by a governmental organization in order to fund government spending and various public expenditures,"It is a kind of identifier. It identifies exactly 1 independent party, applies in some jurisdiction, is member of exactly 1 tax identification scheme.",,Tax identifiers are used for various tax-related purposes in the United States and in other countries under the Common Reporting Standard (CRS).,release
taxpayer identification number,Class,US Regulatory Agencies Ontology,,identification number used by the Internal Revenue Service (IRS) in the administration of tax laws in the United States,"It is a kind of tax identifier. It applies in resource that is United States jurisdiction, is member of exactly 1 taxpayer identification numbering scheme.",,"A TIN must be furnished on returns, statements, and other tax related documents. For example a number must be furnished:
- When filing tax returns.
- When claiming treaty benefits.

A TIN must be on a withholding certificate if the beneficial owner is claiming any of the following:
- Tax treaty benefits (other than for income from marketable securities)
- Exemption for effectively connected income
- Exemption for certain annuities.",release
taxpayer identification numbering scheme,Class,US Regulatory Agencies Ontology,,tax identification scheme used in the United States,It is a kind of tax identification scheme. It applies in resource that is United States jurisdiction.,,,release
telephone number,Class,Virtual Places Ontology,,"virtual address that may be assigned to a fixed-line telephone subscriber station connected to a telephone line or to a wireless electronic telephony device, such as a radio telephone or a mobile telephone, or to other devices or services for data transmission via the public switched telephone network (PSTN) or other public and private networks",It is a kind of virtual address. ,,"Telephone numbers are assigned within the framework of a national or regional telephone numbering plan to subscribers by telephone service operators, which may be commercial entities, state-controlled administrations, or other telecommunication industry associations.",release
ten years,NamedIndividual,Interest Rates Ontology,,duration of exactly ten years,,,,release
term origin,Property,Annotation Vocabulary,,"document or other source from which a given term was taken directly; the range for this annotation can be a string, URI, or BibliographicCitation",,,,release
term sheet,Class,Contracts Ontology,,nonbinding agreement setting forth the basic terms and conditions under which a proposed business deal may be made,It is a kind of agreement. It has non-binding term some non-binding term.,,Term sheets state the intentions of the parties and are used to guide legal counsel in the preparation of proposed agreements or contracts.,release
term structure,Class,Indicators Ontology,,"structured collection of rates, such as interest rates, or bond yields with different terms to maturity, such that a yield curve may be constructed for the structure",It is a kind of dated structured collection. It has constituent some market rate.,,"Term structure refers to a set of discrete points; elements are ordered by time. Restrictions on the rate (see above) and a point in time, paired together, and then ordered in a structured collection is how this should ultimately be modeled.  Then the concept of yield curve would be a child of term structure, for calculation of net present value, for example. Term structures consist of two or more observed or projected values, typically related to debt instruments or interest rates. assessment of monetary policy conditions, and so forth.",release
terminated trade,NamedIndividual,Financial Products and Services Ontology,,"stage in the trade lifecycle in which the trade has been terminated early, i.e., prior to maturity",,,"Early termination may be triggered by a position sell or early termination provision, such as auto call/cancel, knock-out, etc.",release
termination provision,Class,Contracts Ontology,,contractual element that specifies the circumstances under which the parties can dissolve their legal relationship and discontinue the fulfillment of their obligations under the contract,It is a kind of contractual commitment. ,,"Common reasons for termination include mutual consent, certain notices, breach or failure of a precedent or condition, insolvency, change in control, the occurrence of certain events, and court orders that prohibit continuation of the contract. Termination provisions may include whether they are mutual or unilateral, and may include rights with respect to any cure.",release
terrace,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,,,,,release
